,20.1_vs_10.1,10.2_vs_10.1,20.2_vs_20.1,20.2_vs_10.2,liver_10_vs_20,scanner_1_vs_2,Int__liver_10.20_vs_scanner_1.2
1000_at,0.000232088350830217,-0.000513875089234617,-0.00022291109681305,0.000523052343251784,-0.000377570347041001,0.000368393093022945,0.000145481996209895
1001_at,0.000744140236911051,0.00017645552703982,0.000200711014804789,0.000768395724676019,-0.000756267980793979,-0.000188583270922749,1.21277438829281e-05
1002_f_at,0.00103302711306075,0.000365138723786629,-0.000432687601059634,0.000235200788214485,-0.00063411395063806,3.37744386369465e-05,-0.000398913162423575
1003_s_at,-5.77634403624572e-05,-0.000119996661241961,-1.847765832097e-05,4.3755562558534e-05,7.00393890218365e-06,6.92371597814656e-05,5.07595014602735e-05
1004_at,-0.000377263851091492,-0.000683569265898853,-0.000379217845185131,-7.29124303777695e-05,0.000225088140734186,0.000531393555541548,0.000152175710357305
1005_at,0.00153766780229514,0.00086401017644544,0.000234025030520613,0.000907682656370312,-0.00122267522933228,-0.000549017603482582,-0.000314992572962858
1006_at,-0.000183420928515865,-0.000113829968443557,-7.81110772534177e-05,-0.000147702037325725,0.000165561482921017,9.59705228482655e-05,1.78594455952918e-05
1007_s_at,0.000796329654948025,2.76647446106892e-06,-0.000421890349109333,0.000371672831377623,-0.000584001243161936,0.00020956193732502,-0.000212328411784313
1008_f_at,-0.00101434029565173,-0.000495255657576799,-0.000691962473355012,-0.00121104711142994,0.00111269370354172,0.000593609065466794,-9.83534078891068e-05
1009_at,-0.000966481480036308,0.00051616845387592,6.05734627896481e-05,-0.00142207647112258,0.00119427897558033,-0.000288370958331896,-0.000227797495542248
100_g_at,0.000302037983226811,-0.000315220565066276,-0.000407442939958536,0.000209815608334551,-0.000255926795780681,0.000361331752512406,-4.61111874461295e-05
1010_at,0.000245684119878131,0.00037919446730017,0.000127380173947866,-6.13017347417255e-06,-0.000119776973201979,-0.000253287320624018,-0.000125907146676152
1011_s_at,0.000955689107588142,0.00210053628448748,0.000422723514555301,-0.000722123662344032,-0.000116782722621167,-0.00126162989952228,-0.000838906384965199
1012_at,0.00277055288984229,0.00170061893877893,-0.00158323785853298,-0.00051330390746962,-0.00112862449118634,-5.86905401229743e-05,-0.00164192839865596
1013_at,0.00101465997462169,-0.000254963076686821,-0.00107711434594049,0.000192508705368022,-0.000603584339994745,0.000666038711313544,-0.000411075634626723
1014_at,-0.000254638092251902,8.22957883732656e-05,0.000321510053531426,-1.54238270937412e-05,0.000135030959673266,-0.000201902920951902,0.000119607132579524
1015_s_at,-0.000159286448504048,-0.000134519175245762,-6.87953072486813e-06,-3.16468039831541e-05,9.5466626243379e-05,7.0699352985315e-05,6.3819822260669e-05
1016_s_at,-0.00069979789026986,0.000385803946108876,0.0025451629470914,0.00145956111071266,-0.000379881610221844,-0.00146548344659969,0.00107967950049126
1017_at,-3.83174541922493e-05,-0.000197345636127721,-1.2424951162604e-05,0.000146603230772868,-5.41428882905315e-05,0.000104885293645385,9.24603424823367e-05
1018_at,-8.86575928911171e-05,-7.49552725496372e-05,0.000179845122470379,0.000166142802128899,-3.87426046191131e-05,-5.24449249605929e-05,0.000127400197509786
1019_g_at,-0.000345665488621805,-0.000457477406513362,-0.000188186133919466,-7.63742160279079e-05,0.0002110198523253,0.00032283177021597,0.000134645636297392
101_at,0.000276856151488758,-3.23207195940256e-05,1.10013530196795e-06,0.000310277006384752,-0.000293566578936755,1.56102921460288e-05,1.67104274479968e-05
1020_s_at,0.00319645863041629,0.00460956879324037,-0.000239121929631381,-0.00165223209245546,-0.000772113268979524,-0.00218522343180361,-0.00242434536143499
1021_at,0.000527084832318003,0.000369663080181493,-0.000244306058750254,-8.68843066137437e-05,-0.000220100262851908,-6.26785107153971e-05,-0.000306984569465651
1022_f_at,0.000209065895933946,4.93752480092979e-05,-0.000139914736311919,1.97759116127294e-05,-0.000114420903773116,4.52697441515326e-05,-9.46449921608306e-05
1023_at,-6.14816562216625e-07,1.02108805196677e-05,8.44212820649837e-07,-9.98148426123446e-06,5.29815041172554e-06,-5.52754667015876e-06,-4.68333384950892e-06
1024_at,-6.65816178506695e-05,-6.02788395671627e-05,5.67220566960458e-06,-6.30572613902203e-07,3.36060952321748e-05,2.73033169486681e-05,3.29755226182726e-05
1025_g_at,0.00084577408576525,-0.000343459142174929,-0.000721574552679627,0.000467658675260552,-0.000656716380512457,0.000532516847427722,-0.000189057705252793
1026_s_at,-0.000426134329405858,-0.000440822988401202,-3.57491139189037e-05,-2.10604549235605e-05,0.000223597392164709,0.000238286051160053,0.000202536937241149
1027_at,-9.78887652640648e-05,-8.82320616626409e-05,5.78934775341544e-06,-3.86735584800846e-06,5.08780605561476e-05,4.12213569547237e-05,4.70107047081392e-05
1028_at,0.000772546217136849,-2.50047243177676e-05,-0.000666544153546944,0.000131006787907673,-0.000451776502521817,0.000345774438931912,-0.000320769714614144
1029_s_at,-0.00133190685903495,-0.00151522639197754,-0.000528843423047043,-0.000345523890104449,0.000838715374569698,0.00102203490751229,0.00049319148446525
102_at,0.000210071358885511,0.000723469265689225,-2.01790053662165e-05,-0.000533576912169931,0.00016175277664221,-0.00035164513016106,-0.000371824135527277
1030_s_at,-0.00140517923969874,0.00234896142146823,0.00186371528950602,-0.00189042537166095,0.00164780230567985,-0.0021063383554889,-0.00024262306597933
1031_at,0.00104459752652453,0.0014135138735627,-0.000925696965733636,-0.00129461331277181,0.000125007893124085,-0.000243908453914088,-0.00116960541964772
1032_at,4.85691812937006e-05,-4.08709386796602e-05,0.00029397066468384,0.000383410784657201,-0.000215989982975451,-0.00012654986300209,0.00016742080168175
1033_g_at,2.59501982243782e-05,4.89576443740702e-06,-4.16384106640688e-05,-2.05839768770977e-05,-2.68311067364024e-06,1.83713231134419e-05,-2.32670875508489e-05
1034_at,0.00105993574833185,-0.000222546261464451,-0.000795291553121302,0.000487190456675002,-0.000773563102502983,0.000508918907293321,-0.000286372645827981
1035_g_at,-0.000861212959052615,-0.00111999246236305,4.27133906057975e-05,0.000301492893916233,0.000279860032567747,0.000538639535879071,0.000581352926484868
1036_at,0.0016430390624258,0.00121724907292009,-0.000739173250615011,-0.000313383261109301,-0.000664827900658693,-0.000239037911152096,-0.000978211161767106
1037_at,1.46425550902052e-05,3.98904989367121e-05,-3.59854678633198e-06,-2.8846490632839e-05,7.10196777142791e-06,-1.81459760750791e-05,-2.17445228616331e-05
1038_s_at,0.0019465983466711,0.00356989687864662,0.00154457881593828,-7.87197160372344e-05,-0.000933939315316934,-0.00255723784729156,-0.00101265903135328
1039_s_at,0.000518448866275278,0.000772211722544824,-0.000114726218837014,-0.000368489075106559,-7.49798955848036e-05,-0.000328742751853461,-0.000443468970691363
103_at,-0.00051095381950983,0.000146140992168142,0.00050458900892103,-0.000152505802756941,0.000331729811133386,-0.000325365000544586,0.000179224008376444
1040_s_at,4.06668229668838e-05,0.000160178960718405,0.00055783783324781,0.000438325695496289,-0.000239496259231586,-0.000359008396983107,0.000198829436264703
1041_at,-3.56820892810639e-05,-3.11648099109441e-05,-0.000162517370970949,-0.000167034650341069,0.000101358369811066,9.68410904409467e-05,-6.56762805300026e-05
1042_at,0.0019439617667194,0.000354294824441936,-0.00231233363870853,-0.000722666696431062,-0.000610647535144171,0.000979019407133297,-0.00133331423157523
1043_s_at,0.00257314547194021,0.000313645359528714,-0.00180224780303373,0.000457252309377765,-0.0015151988906581,0.000744301221752508,-0.00105794658128033
1044_s_at,0.00120094024070649,0.00111615189777758,-0.00112712575057117,-0.00104233740764226,-7.93014165321182e-05,5.48692639590342e-06,-0.00112163882417526
1045_s_at,0.00199186043942134,-0.000311892941581959,-0.00158135327264208,0.000722400108361221,-0.00135713027389084,0.000946623107112465,-0.000634730165530506
1046_at,-9.65080204062829e-05,-0.000282425255009322,-0.00141773874787532,-0.00123182151327228,0.000664164766839725,0.000850082001442765,-0.000567656746432554
1047_s_at,0.000990374177867182,0.00104728772774987,-0.000747777917091241,-0.000804691466973928,-9.28413554470708e-05,-0.000149754905328869,-0.000897532822420111
