,20.1_vs_10.1,10.2_vs_10.1,20.2_vs_20.1,20.2_vs_10.2,liver_10_vs_20,scanner_1_vs_2,Int__liver_10.20_vs_scanner_1.2
1000_at,0.502928857672739,0.493515326498355,0.497186953533592,0.50660047213224,0.496630797411205,0.50328731242868,0.501298206623326
1001_at,0.509582715252968,0.502272543999522,0.502584862094647,0.509894946069941,0.493113264232194,0.498282642170249,0.500110423169139
1002_f_at,0.512570031570516,0.504443730244996,0.494734297172264,0.502862409737358,0.494543233926003,0.500290632738593,0.496567152830946
1003_s_at,0.499155937326438,0.498246551979314,0.499729994417748,0.500639384486407,0.500072364792518,0.500715400501915,0.50052447794151
1004_at,0.495209930659819,0.491321249428765,0.495185070335103,0.499074205050933,0.502020895544483,0.504770906068135,0.50136626504267
1005_at,0.522359695775304,0.512568353786899,0.503404761991548,0.513203373620839,0.487423644035528,0.494352089514478,0.496759495990505
1006_at,0.497567855906383,0.498490624532128,0.498964236765705,0.498041463378521,0.501552344244667,0.50089984333922,0.500167448067836
1007_s_at,0.515307323097392,0.500053191236395,0.49188885027728,0.507145799029187,0.492060682929031,0.502849091928166,0.497113297159667
1008_f_at,0.486635989427234,0.493474045913625,0.490882399396101,0.484045594848909,0.510366846728577,0.505531038181273,0.499083537626644
1009_at,0.492339696215609,0.50409131311043,0.500480133060168,0.488729473402166,0.506693441848167,0.498383728730624,0.498723231913304
100_g_at,0.503811427340422,0.49602221096648,0.494858524673475,0.502647703169326,0.497716337607258,0.503224185362205,0.499588547818473
1010_at,0.503089600879019,0.504768463856258,0.501601852444348,0.499922911107001,0.49893490651918,0.497747723369734,0.498880396644224
1011_s_at,0.507922373213235,0.517408401538285,0.503504429286556,0.494013663141091,0.49931540342807,0.492604650857117,0.495082389380059
1012_at,0.534643058398383,0.521281484768575,0.480186583037716,0.493573833033649,0.490009530978367,0.499480269992595,0.485467519291395
1013_at,0.513352379536415,0.496643730319131,0.485825985389878,0.502534167717626,0.494382555251025,0.506198710766501,0.496174367472729
1014_at,0.494656412560049,0.501727024839905,0.506746776896425,0.49967632109942,0.502003729312999,0.497003971205936,0.501774856312044
1015_s_at,0.496874290798541,0.497360317048658,0.499864993057012,0.499378954336298,0.501324686847482,0.500981006842215,0.50088554277695
1016_s_at,0.493170922907203,0.503764803992395,0.524819750124741,0.514238488199397,0.497379445129418,0.489889228388143,0.507449263358572
1017_at,0.499500785805189,0.497428914520486,0.499838122837952,0.501910004489626,0.499501207904042,0.500966253557876,0.500851789413269
1018_at,0.498841573404826,0.49902061205436,0.50234989293179,0.502170856513425,0.499642048805499,0.499515448977943,0.501177081986752
1019_g_at,0.495944618212583,0.494632893109154,0.497792142943443,0.499103949595205,0.50175061498211,0.502678195299277,0.50111701529063
101_at,0.503527750573247,0.499588156745109,0.500014018255215,0.503953593415641,0.497354925710256,0.500140652400443,0.500150564803115
1020_s_at,0.52504729646826,0.536094681953696,0.498125032180654,0.487047008551816,0.495719078595858,0.487885908106499,0.486560781365912
1021_at,0.507048919136585,0.504943815296318,0.49673269857969,0.498838007805551,0.497918537356282,0.499407231227132,0.49709689981307
1022_f_at,0.503131877223536,0.500739675438157,0.497904031323569,0.500296255185565,0.498787962644458,0.500479525216846,0.498997445905065
1023_at,0.49997908827264,0.500347299051026,0.500028714166241,0.49966050338498,0.500127423603769,0.499867059239069,0.49988736321979
1024_at,0.498730201269718,0.498850405121832,0.500108178359732,0.499987973955875,0.500453194155703,0.500368196850868,0.500444690463734
1025_g_at,0.510843992268969,0.495595849551114,0.490748124093141,0.505996636670161,0.494045607547124,0.504828341429378,0.498285813870365
1026_s_at,0.49508385147927,0.494914400779982,0.499587559952149,0.499757023908762,0.501824063641643,0.501943891459234,0.501652255221288
1027_at,0.498553161769863,0.498695893030022,0.50008557021488,0.49994283810646,0.500531745307162,0.500430818538514,0.50049132577772
1028_at,0.50880908400396,0.499714851413707,0.492399481603331,0.501493966849223,0.496357117695494,0.502788144190303,0.497413481749164
1029_s_at,0.484935845037183,0.482863554679629,0.494017095378657,0.496090915551565,0.506709025271758,0.508175295929842,0.503945092879802
102_at,0.502908768806027,0.510016240503092,0.499720591225652,0.492612514989429,0.501583601316938,0.496557180742485,0.496359616674619
1030_s_at,0.488624430205088,0.519011239612462,0.515086071651394,0.484697870482624,0.509432984343888,0.487942798295243,0.498610972185411
